theta	g	dt	total_strides	q1	q2	qd1	qd2	mh	mt1L	ms1L	a1L	b1L	c1L	rLa	rLb	dL	LL	mt1R	ms1R	a1R	b1R	c1R	rRa	rRb	dR	LR	run_time	duration	stopped	success	stride	fail	phase	
0.0594	9.8066	0.0010	5.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	9.8238	6.8860	0.0000	1.0000	5.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	5.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	11.6029	6.8860	0.0000	1.0000	5.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	5.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	10.2400	6.8860	0.0000	1.0000	5.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	5.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	9.8220	6.8860	0.0000	1.0000	5.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	5.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	9.8827	6.8860	0.0000	1.0000	5.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	5.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	9.5468	6.5200	0.0000	1.0000	5.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	13.1299	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	13.2044	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	13.1422	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	13.0170	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	13.0929	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	13.0595	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	12.9350	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	93.1890	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
0.0594	9.8066	0.0010	10.0000	0.0577	-0.4184	-0.9014	-0.0399	2.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0000	0.0000	1.0000	1.0000	0.0500	0.3333	0.3333	0.3333	0.3333	-0.0500	0.0000	1.0000	13.1265	13.2820	0.0000	1.0000	10.0000	0.0000	-1.0000	
